사업장명,소재지(지번)
김밥천국,경기도 성남시 수정구 수진동 23 
황소,경기도 성남시 수정구 태평동 6424 
산아래 염소이야기,경기도 성남시 수정구 상적동 139-2 
현대식당,경기도 성남시 수정구 시흥동 87-4 
성옥 복어 아구 해물찜 전문점,경기도 성남시 수정구 태평동 6419-2 1층 
유림각,경기도 성남시 수정구 태평동 3482-2 1층 일부 
돼지의 집,"경기도 성남시 수정구 신흥동 4094 1층, 2층 "
종합감자탕,경기도 성남시 수정구 신흥동 4118 
부촌,경기도 성남시 수정구 신흥동 4237 1층 
맛나는아지트,경기도 성남시 수정구 신흥동 4097 
청계산장식당,경기도 성남시 수정구 상적동 212-5 
짜장짱,경기도 성남시 수정구 태평동 6434 
참맛 닭갈비,경기도 성남시 수정구 신흥동 4092 
대가,경기도 성남시 수정구 태평동 3436-1 1층 
손가아나고꼼장어,경기도 성남시 수정구 양지동 33 1층 
두원 전통 육개장,경기도 성남시 수정구 태평동 6940 
투도양꼬치,경기도 성남시 수정구 수진동 2951 1층 
수내닭꼬치(신흥점),경기도 성남시 수정구 신흥동 5493-6 
브라더 한정식 도시락 위례중앙점,경기도 성남시 수정구 창곡동 547-2 으뜸프라자 112호
더행복한밥상,경기도 성남시 수정구 신흥동 5559 1층 
인사동,경기도 성남시 수정구 수진동 232 1층 
신흥각,경기도 성남시 수정구 태평동 2507 
한스델리,경기도 성남시 수정구 신흥동 4194 
진성삼계탕,경기도 성남시 수정구 신흥동 4168 
황씨네 대구탕,경기도 성남시 수정구 태평동 6796 
진미순대국,경기도 성남시 수정구 태평동 6424 
경성본가 양평해장국,경기도 성남시 수정구 수진동 65 1층 
치킨동네,경기도 성남시 수정구 양지동 25 
오상구육성,경기도 성남시 수정구 수진동 428 
동신선참치,경기도 성남시 수정구 태평동 3408 지층 
원치킨호프,경기도 성남시 수정구 태평동 6111 외 1필지 1층 
신마포갈매기,경기도 성남시 수정구 신흥동 4129 1층 
신몽불닭발,경기도 성남시 수정구 태평동 3524-3 
향교연 운남쌀국수,경기도 성남시 수정구 수진동 2955 1층 
우림식당,경기도 성남시 수정구 신흥동 5526 1층 
정가네 해장국,경기도 성남시 수정구 단대동 67-5 1층 
천하일미김밥전문점,경기도 성남시 수정구 양지동 232 
한가네부대전골,경기도 성남시 수정구 신흥동 5445 1층 
벌교식당,경기도 성남시 수정구 태평동 3661 
강남식당,경기도 성남시 수정구 신흥동 5534-1 
순대국,경기도 성남시 수정구 신흥동 5268 
배씨상회 성남신흥점,경기도 성남시 수정구 신흥동 4102 1층 일부호 
토종산야초,경기도 성남시 수정구 수진동 3145 1층 
돈하우스,경기도 성남시 수정구 수진동 567 
전통맛집할매순대국 수진점,경기도 성남시 수정구 수진동 3236 1층 
청기와,"경기도 성남시 수정구 신흥동 5459 1층,2층 "
순양 식당,경기도 성남시 수정구 신흥동 6898 1층 
은성코다리,경기도 성남시 수정구 태평동 3412 2층 
고암남원추어탕,경기도 성남시 수정구 양지동 24 1층 
싸고 가장맛있는 집밥,경기도 성남시 수정구 태평동 7346 가천대역 두산위브 상가동 지1층 109호 
춘천닭갈비,경기도 성남시 수정구 수진동 13 
남해수산,경기도 성남시 수정구 신흥동 4253 1층 
펀비어킹 신흥역점,경기도 성남시 수정구 신흥동 4192 2층 
까치골가든,경기도 성남시 수정구 복정동 459 1층 
신대해 500원 양꼬치,경기도 성남시 수정구 수진동 486 1층 
디디치킨 태평점,경기도 성남시 수정구 태평동 6814-7 지층 
바다아구찜 탕,경기도 성남시 수정구 신흥동 5515 
용궁반점,경기도 성남시 수정구 태평동 7116-24 
31호 그집,경기도 성남시 수정구 단대동 1-4 
토크박스,경기도 성남시 수정구 산성동 1455 
열두바구니,경기도 성남시 수정구 신흥동 5508 지층 
밥&찌개,경기도 성남시 수정구 수진동 2959 1층 
주주,경기도 성남시 수정구 신흥동 4197 2층 
본가해장국,경기도 성남시 수정구 단대동 68-3 1층 
장군족발보쌈,경기도 성남시 수정구 신흥동 5514 1층 
태평골 오겹살,경기도 성남시 수정구 태평동 3776 1층 
올레길,경기도 성남시 수정구 태평동 3305-3 1층 
택시포차,경기도 성남시 수정구 신흥동 3379 1층 
목포신안포차,경기도 성남시 수정구 수진동 11 1층 
